Feature,R2,p_value,Significant
SampleType,0.9729765119028005,0.001,Yes
Location,0.9508594499429464,0.001,Yes
SampleCollectionWeek,0.9319032701327312,0.001,Yes
PostNatalAbxCohort,0.8559653982088172,0.001,Yes
Delivery,0.8059705078428863,0.001,Yes
MaternalAntibiotics,0.7740375457952923,0.001,Yes
PICC,0.7719286243463305,0.001,Yes
AnyMilk,0.7554217367801891,0.001,Yes
GestationCohort,0.7453561080259419,0.001,Yes
UVC,0.732948781952114,0.002,Yes
BSI_30D,0.6271056126776683,0.001,Yes
NEC_30D,0.4786846999895913,0.478,No
